track_id,track_name,artist_name,album_name,genre,popularity,duration_ms,explicit,key,mode,loudness,danceability,energy,valence,tempo,acousticness,instrumentalness,speechiness,liveness
TRK0001,Track 1,Artist 1,Album 1,Metal,35,200818,False,8,0,-3.59,0.2811,0.9072,0.3549,139.13,0.1038,0.3403,0.0878,0.2918
TRK0002,Track 2,Artist 2,Album 2,Pop,75,124703,False,0,0,-10.48,0.7443,0.9127,0.7221,116.36,0.02,0.0434,0.1192,0.1364
TRK0003,Track 3,Artist 3,Album 3,Electronic,82,316200,False,0,0,-4.13,0.7451,0.9195,0.6964,121.28,0.0661,0.5884,0.0567,0.06
TRK0004,Track 4,Artist 4,Album 4,Rock,82,192099,False,3,1,-6.42,0.6457,0.6985,0.7366,128.15,0.248,0.1538,0.0727,0.2223
TRK0005,Track 5,Artist 5,Album 5,Metal,49,276921,False,8,1,-6.9,0.5195,0.8639,0.2897,156.53,0.0347,0.44,0.175,0.3209
TRK0006,Track 6,Artist 6,Album 6,Acoustic,26,282932,False,5,1,-13.05,0.5126,0.4529,0.2657,121.02,0.9034,0.0288,0.0667,0.1409
TRK0007,Track 7,Artist 7,Album 7,Jazz,10,151585,False,10,1,-14.56,0.4534,0.468,0.2443,70.0,0.6669,0.7651,0.0651,0.1468
TRK0008,Track 8,Artist 8,Album 8,Metal,70,273087,True,2,0,-4.79,0.3057,0.9089,0.4133,135.43,0.0725,0.3353,0.1327,0.3122
TRK0009,Track 9,Artist 9,Album 9,Electronic,52,328611,False,0,0,-8.39,0.8262,0.8229,0.6675,122.83,0.0454,0.6638,0.0323,0.1452
TRK0010,Track 10,Artist 10,Album 10,Rock,51,163585,False,3,1,-6.17,0.5979,0.904,0.4204,137.71,0.2219,0.2402,0.0743,0.2441
TRK0011,Track 11,Artist 11,Album 11,Pop,34,146958,False,11,0,-4.69,0.7266,0.708,0.5919,120.43,0.2348,0.0965,0.088,0.1657
TRK0012,Track 12,Artist 12,Album 12,Electronic,48,146017,True,8,1,-7.5,0.95,0.7233,0.5237,139.79,0.0789,0.7829,0.0746,0.2653
TRK0013,Track 13,Artist 13,Album 13,Electronic,44,327779,True,2,1,-4.74,0.8655,0.9725,0.478,134.26,0.0421,0.6545,0.0649,0.06
TRK0014,Track 14,Artist 14,Album 14,Jazz,12,244677,False,11,1,-20.62,0.5643,0.6275,0.5917,160.0,0.6628,0.5842,0.0563,0.128
TRK0015,Track 15,Artist 15,Album 15,Lo-Fi,53,296422,False,8,0,-9.29,0.6324,0.1939,0.5342,72.6,0.6106,0.6831,0.0559,0.1102
TRK0016,Track 16,Artist 16,Album 16,Rock,60,263273,False,6,1,-4.52,0.4622,0.8584,0.85,136.79,0.1356,0.0721,0.0661,0.1468
TRK0017,Track 17,Artist 17,Album 17,Classical,21,149426,False,11,1,-16.67,0.3104,0.1,0.3472,131.9,0.8761,0.7978,0.0262,0.05
TRK0018,Track 18,Artist 18,Album 18,Electronic,28,137778,False,3,1,-4.88,0.7673,0.904,0.8344,135.37,0.0675,0.6717,0.0577,0.1246
TRK0019,Track 19,Artist 19,Album 19,Lo-Fi,53,296313,False,2,0,-8.93,0.5834,0.1812,0.3734,81.93,0.8521,0.7009,0.0702,0.105
TRK0020,Track 20,Artist 20,Album 20,Classical,68,162229,False,9,0,-22.98,0.4157,0.5264,0.1,110.17,0.9455,0.8805,0.0464,0.1223
TRK0021,Track 21,Artist 21,Album 21,Rock,58,206652,False,4,1,-4.15,0.3503,0.7684,0.85,121.26,0.01,0.2233,0.0871,0.2772
TRK0022,Track 22,Artist 22,Album 22,Ambient,70,248267,False,4,0,-22.53,0.3346,0.3472,0.2255,65.84,0.7624,0.8867,0.0787,0.1158
TRK0023,Track 23,Artist 23,Album 23,Acoustic,26,299436,False,2,0,-15.76,0.3181,0.2807,0.193,129.08,0.9769,0.228,0.0303,0.1893
TRK0024,Track 24,Artist 24,Album 24,Lo-Fi,83,349905,False,11,0,-13.78,0.5528,0.2932,0.4284,85.5,0.6839,0.6087,0.0843,0.1055
TRK0025,Track 25,Artist 25,Album 25,Synthwave,66,246503,False,8,0,-6.99,0.7688,0.6853,0.3845,130.72,0.2824,0.6445,0.0491,0.0741
TRK0026,Track 26,Artist 26,Album 26,Ambient,64,204878,False,3,0,-23.31,0.2024,0.1918,0.3409,63.53,0.8211,0.8098,0.0429,0.0972
TRK0027,Track 27,Artist 27,Album 27,Acoustic,56,177056,False,10,0,-10.28,0.524,0.4404,0.2344,81.25,0.8923,0.0,0.0537,0.0828
TRK0028,Track 28,Artist 28,Album 28,Jazz,21,278562,False,4,0,-12.52,0.575,0.4237,0.6842,93.73,0.5452,0.4108,0.0427,0.1531
TRK0029,Track 29,Artist 29,Album 29,Metal,71,139975,True,3,0,-1.06,0.4961,0.8288,0.3242,120.62,0.0438,0.7201,0.1317,0.313
TRK0030,Track 30,Artist 30,Album 30,Pop,89,277795,False,4,0,-2.46,0.8102,0.7097,0.5269,119.64,0.1432,0.0,0.0872,0.1506
TRK0031,Track 31,Artist 31,Album 31,Synthwave,92,274351,False,6,0,-6.49,0.6511,0.8024,0.5001,126.73,0.1413,0.5593,0.0497,0.1356
TRK0032,Track 32,Artist 32,Album 32,Jazz,17,329373,False,8,1,-14.81,0.6546,0.2762,0.3736,127.8,0.563,0.6361,0.03,0.2858
TRK0033,Track 33,Artist 33,Album 33,Rock,30,262633,False,6,1,-1.5,0.6394,0.793,0.6122,156.85,0.2433,0.1296,0.0673,0.2602
TRK0034,Track 34,Artist 34,Album 34,Jazz,90,358507,False,4,0,-15.59,0.5692,0.6848,0.4638,134.04,0.7821,0.5385,0.0451,0.2073
TRK0035,Track 35,Artist 35,Album 35,Metal,89,317133,False,9,1,-2.95,0.3106,0.8858,0.2697,163.85,0.0655,0.4288,0.1369,0.2084
TRK0036,Track 36,Artist 36,Album 36,Rock,79,208397,True,9,1,-7.94,0.6382,0.8668,0.6174,116.19,0.1669,0.068,0.0695,0.1016
TRK0037,Track 37,Artist 37,Album 37,Synthwave,81,300225,False,6,0,-4.09,0.6647,0.7361,0.5928,116.65,0.1521,0.773,0.0407,0.1112
TRK0038,Track 38,Artist 38,Album 38,Metal,34,153142,True,9,0,-4.94,0.4003,0.911,0.3624,141.45,0.0287,0.1204,0.0895,0.3111
TRK0039,Track 39,Artist 39,Album 39,Classical,91,146916,True,4,0,-26.61,0.2845,0.4551,0.3082,120.83,0.8076,0.8394,0.0408,0.1209
TRK0040,Track 40,Artist 40,Album 40,Pop,21,184324,False,2,1,-5.62,0.8162,0.6731,0.7202,120.1,0.3004,0.1375,0.0413,0.114
TRK0041,Track 41,Artist 41,Album 41,Synthwave,24,296037,True,6,1,-8.48,0.5916,0.8426,0.6812,123.59,0.1666,0.8644,0.0269,0.1226
TRK0042,Track 42,Artist 42,Album 42,Classical,68,245932,False,10,0,-24.13,0.389,0.1,0.3458,113.38,0.8432,0.7999,0.0402,0.1582
TRK0043,Track 43,Artist 43,Album 43,Acoustic,35,255720,False,10,0,-15.48,0.4142,0.4626,0.4118,94.0,0.9083,0.1012,0.0705,0.1035
TRK0044,Track 44,Artist 44,Album 44,Synthwave,35,286205,False,1,0,-8.63,0.7556,0.7619,0.6707,117.34,0.2887,0.8883,0.0234,0.1409
TRK0045,Track 45,Artist 45,Album 45,Acoustic,56,301749,True,11,1,-13.78,0.5192,0.3568,0.3022,127.05,0.8663,0.1215,0.0412,0.1356
